Id,SalePrice
1461,127343.33333333333
1462,161535.0
1463,193324.66666666666
1464,195397.9
1465,189812.73333333334
1466,181250.0
1467,173169.26666666666
1468,176294.06666666668
1469,190073.33333333334
1470,139117.73333333334
1471,216072.83333333334
1472,94753.33333333333
1473,99808.33333333333
1474,150750.0
1475,112025.0
1476,359013.8333333333
1477,271505.26666666666
1478,294872.06666666665
1479,300569.0
1480,458036.9
1481,299092.4666666667
1482,202786.66666666666
1483,193234.8
1484,174440.0
1485,181780.4
1486,204301.4
1487,302739.56666666665
1488,220457.83333333334
1489,217065.73333333334
1490,240039.26666666666
1491,195073.83333333334
1492,108341.66666666667
1493,176074.46666666667
1494,277486.6666666667
1495,282902.26666666666
1496,240602.4
1497,184330.5
1498,159422.93333333332
1499,159058.5
1500,169401.63333333333
1501,176793.33333333334
1502,167449.63333333333
1503,288955.93333333335
1504,233787.1
1505,231719.5
1506,186121.66666666666
1507,239528.66666666666
1508,196221.66666666666
1509,163518.33333333334
1510,149398.33333333334
1511,141181.66666666666
1512,172023.33333333334
1513,136410.0
1514,171428.5
1515,162602.76666666666
1516,149320.0
1517,159001.23333333334
1518,136848.8
1519,231545.2
1520,139315.0
1521,140430.0
1522,153478.33333333334
1523,113868.33333333333
1524,107217.53333333334
1525,127126.93333333333
1526,129061.66666666667
1527,103866.2
1528,127682.5
1529,135826.1
1530,167941.66666666666
1531,153830.0
1532,106948.33333333333
1533,142747.5
1534,126018.33333333333
1535,141870.0
1536,124732.66666666667
1537,93948.7
1538,173671.66666666666
1539,205206.8
1540,131687.9
1541,139269.53333333333
1542,138356.83333333334
1543,192376.66666666666
1544,93200.0
1545,111260.0
1546,125360.0
1547,140885.0
1548,133785.0
1549,122128.13333333333
1550,131187.8
1551,117831.66666666667
1552,147765.4
1553,158203.2
1554,119405.93333333333
1555,172513.33333333334
1556,128338.33333333333
1557,119424.13333333333
1558,119643.33333333333
1559,134476.66666666666
1560,140200.0
1561,152968.63333333333
1562,127221.63333333333
1563,124305.46666666666
